56	Sorangium compositum
56	Sorangium nigrescens
56	Sorangium nigrum
56	strain So ce1871
57	Polyangium sp
59	Vitreoscilla Pringsheim 1949
60	Vitreoscilla sp
61	ATCC 15218
61	DSM 513
61	LMG 7756
61	LMG:7756
61	Vitreoscilla stercoraria Pringsheim 1951
62	ATCC 43189
62	Vitreoscilla beggiatoides Pringsheim 1949
62	strain B23SS
63	Vitreoscilla filiformis Pringsheim 1951
63	ATCC 43190
63	Vitreoscilla filiformis
63	strain L1401-2
64	Herpetosiphon Holt
65	ATCC 23779
65	CCUG 48726
65	DSM 785
65	HAMBI 1968
65	Herpetosiphon aurantiacus Holt
68	Lysobacter Christensen
69	ATCC 29487
69	DSM 2043
69	LMG 8762
69	LMG:8762
69	Lysobacter enzymogenes Christensen
69	Lysobacter enzymogenes subsp enzymogenes Christensen
69	UASM 495
71	Simonsiella Schmid 1922
72	Caryophanon muelleri
72	ATCC 29453
72	CCUG 30554
72	CIP 103436
72	Caryophanon muelleri
72	DSM 2579
72	LMG 7828
72	LMG:7828
72	Scheibenbakterien Muller 1911
72	Simonsiella muelleri Schmid 1922
75	Caulobacter Henrici
78	Caulobacter sp
81	Hyphomicrobium Stutzer
82	Hyphomicrobium sp
83	ATCC 33404
83	Hyphomicrobium vulgare Stutzer
83	JCM 6889
83	NCIB 9698
83	NCIB:9698
84	ATCC 35216
84	DSM 5458
84	Hyphomicrobium methylovorum
84	IFO 14180
84	JCM 6890
84	NBRC 14180
84	strain KM 146
85	Hyphomonas
86	ATCC 33883
86	DSM 5153
86	Hyphomonas jannaschiana
86	strain VP2
87	Hyphomonas sp
88	Chlamydothrix Migula 1900
88	Detoniella Trevisan in de Toni
88	Chlamydothrix
88	Detoniella
88	Leptothrix Kutzing 1843
89	Leptothrix crassa Cholodny 1924
89	Leptothrix discophora
89	Megalothrix discophora Schwers 1912
89	ATCC 43182
89	LMG 8141
89	LMG:8141
89	Leptothrix crassa
89	Leptothrix discophora
89	Megalothrix discophora
89	strain SS-1
93	Stella Vasilyeva 1985
94	ATCC 43930
94	AUCM B-1137
94	DSM 5900
94	Stella humosa Vasilyeva 1985
94	VKM B-1137
96	Gallionella Ehrenberg 1838
97	Chlamydothrix ferruginea
97	Spirillum ferrugineum
97	Spirophyllum ferrugineum
97	Chlamydothrix ferruginea
97	Gallionella ferruginea Ehrenberg 1838
97	Spirillum ferrugineum
97	Spirophyllum ferrugineum
99	Renobacter Nikitin 1971
99	Ancylobacter Raj 1983
99	Microcyclus Orskov 1928
99	Renobacter
100	ATCC 25396
100	Ancylobacter aquaticus
100	CCUG 1820
100	CCUG 30551
100	DSM 101
100	JCM 20518
100	LMG 4052
100	LMG:4052
100	Microcyclus aquaticus Orskov 1928
100	NBRC 102453
100	VKM B-1287
100	strain rskov
101	Flectobacillus
102	ACAM 171
102	ATCC 43844
102	CIP 103112
102	Flectobacillus glomeratus
102	LMG 13858
102	LMG:13858
102	Polaribacter glomeratus
102	UQM 3055
103	Microcyclus major Gromov 1963
103	ATCC 29496
103	DSM 103
103	Flectobacillus major
103	LMG 13163
103	LMG:13163
103	Microcyclus major
103	VKM B-859
104	Microcyclus marinus Raj 1976
104	ATCC 25205
104	Cyclobacterium marinum corrig
104	DSM 745
104	Flectobacillus marinus
104	LMG 13164
104	LMG:13164
104	Microcyclus marinus
104	strain Raj
105	Runella Larkin
106	ATCC 29530
106	DSM 19594
106	LMG 11500
106	LMG:11500
106	Runella slithyformis Larkin
107	Spirosoma Migula 1894
108	ATCC 33905
108	DSM 74
108	LMG 10896
108	LMG:10896
108	Spirosoma linguale Migula 1894
109	Blastobacter Zavarzin 1961
110	Blastobacter viscosus Loginova
110	ATCC BAA-298
110	Blastobacter viscosus 7d
110	VKM B-2253
110	Xanthobacter viscosus Doronina
110	strain 7d
112	Planctomycetales Schlesner
112	planctomycetes
113	Gemmata Franzmann
114	DSM 5831
114	Gemmata obscuriglobus Franzmann
114	UQM 2246
117	Pirellula sp
118	Acinothrix Novacek 1938
118	Blastocaulis Henrici
118	Acinothrix
118	Blastocaulis
118	Planctomyces Gimesi 1924
119	ATCC 49424
119	DSM 5305
119	IFAM 1448
119	JCM 21570
119	NBRC 103401
119	Planctomyces brasiliensis Schlesner 1990
119	Rubinisphaera brasiliensis
120	Planctopirus limnophilus
120	ATCC 43296
120	DSM 3776
120	IFAM 1008
120	Planctomyces limnophilus Hirsch
120	Planctopirus limnophila corrig
120	Planctopirus limnophilus
120	strain Mu 290
122	Planctomyces maris Bauld
122	ATCC 29201
122	DSM 8797
122	Gimesia maris
122	Planctomyces maris
122	strain 534-30
123	Pirellula Schlesner
124	ATCC 49069
124	Blastopirellula marina
124	DSM 3645
124	IFAM 1313
124	Pirellula marina
124	strain SH 106
125	ATCC 27377
125	DSM 6068
125	Pasteuria ramosa ATCC 27377
125	Pirellula staleyi Schlesner
126	Planctomycetaceae Schlesner
127	Isosphaera
128	Isocystis pallida Woronichin 1927
128	Torulopsidosira pallida
128	ATCC 43644
128	DSM 9630
128	Isocystis pallida
128	Isosphaera pallida
128	Torulopsidosira pallida
128	strain IS1B
131	Tuberoidobacter Nikitin 1970
131	Tuberoidobacter
132	Tuberoidobacter mutans
132	Tuberoidobacter mutans
133	Methylocystis
